,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.2854805448043338,,Intercept,311.9518308332869,312.0,0.04816916671308036,312.0
1,1,grade:A,1.1412183911636191,1.832811829045102e-36,grade,88.99269696551065,89.0,0.007303034489353877,89.0
2,2,grade:B,0.8851341647440701,7.376927172009806e-48,grade,69.02313974853908,69.0,-0.023139748539080074,69.0
3,3,grade:C,0.6900669769921319,1.779341046104071e-34,grade,53.81171723560331,54.0,0.18828276439668912,54.0
4,4,grade:D,0.5020342803952811,4.885412169184585e-21,grade,39.14884734372455,39.0,-0.14884734372454744,39.0
5,5,grade:E,0.32660309727654085,4.5255637200583835e-12,grade,25.468648848440473,25.0,-0.4686488484404734,25.0
6,6,grade:F,0.13683255850701306,0.00526808501365791,grade,10.670261282605164,11.0,0.32973871739483585,11.0
7,7,home_ownership:OWN,0.09190912516496888,5.0270478798261265e-06,home_ownership,7.167112787090186,7.0,-0.1671127870901863,7.0
8,8,home_ownership:MORTGAGE,0.10606744679682238,4.9708528709372694e-17,home_ownership,8.27118474761919,8.0,-0.27118474761918954,8.0
9,9,addr_state:NM_VA,0.02889385443723221,0.3668017631250037,addr_state,2.253155094597071,2.0,-0.2531550945970711,2.0
10,10,addr_state:NY,0.051285344933475314,0.03432811258022434,addr_state,3.999253075288112,4.0,0.0007469247118878641,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.053485848593442444,0.020948343335958415,addr_state,4.170849289386344,4.0,-0.1708492893863438,4.0
12,12,addr_state:CA,0.05793340196056806,0.006315788061138244,addr_state,4.517671398198469,5.0,0.48232860180153114,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07306223782489212,0.0033772842739867334,addr_state,5.697424472578874,6.0,0.30257552742112637,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13019986113192422,7.607150837368553e-09,addr_state,10.153040711910215,10.0,-0.15304071191021507,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09441391628146324,0.00155774001711105,addr_state,7.362437466851789,7.0,-0.3624374668517891,7.0
16,16,addr_state:GA_WA_OR,0.18015005058736627,1.4562360727369757e-11,addr_state,14.048177793468762,14.0,-0.04817779346876172,14.0
17,17,addr_state:WI_MT,0.2236674348042931,2.3636634080764453e-06,addr_state,17.441681978412642,17.0,-0.44168197841264245,17.0
18,18,addr_state:TX,0.2168463549026435,7.25183796481929e-17,addr_state,16.909771257935997,17.0,0.09022874206400289,17.0
19,19,addr_state:IL_CT,0.25602780952947213,1.8834661525685095e-18,addr_state,19.965157803816982,20.0,0.03484219618301765,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3149068804502001,1.7965340837366707e-24,addr_state,24.55657287093354,25.0,0.4434271290664604,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5163824335130174,2.848241878853125e-22,addr_state,40.26772244450128,40.0,-0.26772244450128113,40.0
22,22,verification_status:Not Verified,0.08461563566837237,6.754654368719203e-09,verification_status,6.598363364878422,7.0,0.4016366351215783,7.0
23,23,verification_status:Source Verified,-0.010895511732498475,0.41721690966194624,verification_status,-0.8496366527231911,-1.0,-0.1503633472768089,-1.0
24,24,purpose:credit_card,0.3051069560292102,3.295524221549954e-27,purpose,23.792370584118984,24.0,0.2076294158810157,24.0
25,25,purpose:debt_consolidation,0.2012271052548914,9.204132913534597e-15,purpose,15.691775507522461,16.0,0.3082244924775388,16.0
26,26,purpose:oth__med__vacation,0.21711757648166133,2.825997736237826e-12,purpose,16.930921232365897,17.0,0.06907876763410314,17.0
27,27,purpose:major_purch__car__home_impr,0.269176560408012,6.116702967916645e-18,purpose,20.990503006338457,21.0,0.009496993661542774,21.0
28,28,initial_list_status:w,0.05436713852422274,3.119261767840593e-05,initial_list_status,4.239572654130509,4.0,-0.23957265413050877,4.0
29,29,term:36,0.0784343990046989,2.0018083934134332e-08,term,6.116347893044399,6.0,-0.11634789304439863,6.0
30,30,emp_length:1,0.10000693943378347,0.00011503145468639547,emp_length,7.798583798149528,8.0,0.20141620185047238,8.0
31,31,emp_length:2-4,0.12624408309856347,2.2263466965229845e-11,emp_length,9.844567453407299,10.0,0.15543254659270112,10.0
32,32,emp_length:5-6,0.09149156241565859,1.9069360884888684e-05,emp_length,7.134551065774456,7.0,-0.1345510657744562,7.0
33,33,emp_length:7-9,0.06172248937453882,0.002998219364400879,emp_length,4.813146051094231,5.0,0.18685394890576923,5.0
34,34,emp_length:10,0.12587274911128793,8.539305689816328e-12,emp_length,9.815610670675369,10.0,0.18438932932463103,10.0
35,35,mths_since_issue_d:<38,1.0913513263804133,4.315834285680091e-185,mths_since_issue_d,85.10404198135254,85.0,-0.1040419813525375,85.0
36,36,mths_since_issue_d:38-39,0.8868661529790274,5.660385801483053e-154,mths_since_issue_d,69.15820092993506,69.0,-0.15820092993506307,69.0
37,37,mths_since_issue_d:40-41,0.786363435048824,6.286621583660542e-128,mths_since_issue_d,61.32095611314481,61.0,-0.32095611314480976,61.0
38,38,mths_since_issue_d:42-48,0.5855827243983744,2.4186963156696838e-91,mths_since_issue_d,45.663990647300366,46.0,0.3360093526996337,46.0
39,39,mths_since_issue_d:49-52,0.4245236166217582,6.741858720394956e-43,mths_since_issue_d,33.10453271805555,33.0,-0.10453271805555175,33.0
40,40,mths_since_issue_d:53-64,0.17853809264616424,8.020542263314233e-10,mths_since_issue_d,13.922476625582505,14.0,0.07752337441749546,14.0
41,41,mths_since_issue_d:65-84,-0.06258322262300257,0.03141541400473388,mths_since_issue_d,-4.880266396982253,-5.0,-0.11973360301774694,-5.0
42,42,int_rate:<9.548,0.8720041695538814,1.3375379115594609e-30,int_rate,67.99925712259606,68.0,0.0007428774039368591,68.0
43,43,int_rate:9.548-12.025,0.5572098435051979,8.541611181858539e-36,int_rate,43.4514612919064,43.0,-0.45146129190639783,43.0
44,44,int_rate:12.025-15.74,0.30564843177410916,8.050823061262954e-17,int_rate,23.834595093689703,24.0,0.1654049063102967,24.0
45,45,int_rate:15.74-20.281,0.11287983765401627,9.750274433915218e-05,int_rate,8.802417892702593,9.0,0.1975821072974071,9.0
46,46,mths_since_earliest_cr_line:141-164,0.054014530632935986,0.029905750993803784,mths_since_earliest_cr_line,4.21207614035199,4.0,-0.21207614035199018,4.0
47,47,mths_since_earliest_cr_line:165-247,0.035972817152158755,0.07321100550460075,mths_since_earliest_cr_line,2.805175626861071,3.0,0.1948243731389292,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07742828655083152,0.003161865114804801,mths_since_earliest_cr_line,6.037890814702932,6.0,-0.03789081470293176,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12051335962662466,2.668458731472494e-07,mths_since_earliest_cr_line,9.397683192445303,9.0,-0.39768319244530304,9.0
50,50,mths_since_earliest_cr_line:>352,0.12850510595803852,1.2556897219221626e-06,mths_since_earliest_cr_line,10.020882980499524,10.0,-0.02088298049952364,10.0
51,51,inq_last_6mths:0,0.6558604602905159,4.12822730481743e-14,inq_last_6mths,51.14427847134654,51.0,-0.1442784713465386,51.0
52,52,inq_last_6mths:1-2,0.5095828913939233,4.148336151538488e-09,inq_last_6mths,39.73749124949594,40.0,0.2625087505040611,40.0
53,53,inq_last_6mths:3-6,0.2993219697987126,0.0006040143229819616,inq_last_6mths,23.341254890097094,23.0,-0.341254890097094,23.0
54,54,acc_now_delinq:>=1,0.20168360874386013,0.055627683156176,acc_now_delinq,15.727373844328152,16.0,0.27262615567184767,16.0
55,55,annual_inc:20K-30K,-0.07978832710134551,0.05802952059877539,annual_inc,-6.221927783581482,-6.0,0.22192778358148235,-6.0
56,56,annual_inc:30K-40K,-0.01764070362227519,0.662743988928505,annual_inc,-1.375629593661572,-1.0,0.3756295936615719,-1.0
57,57,annual_inc:40K-50K,0.07722891609678129,0.0558688559864346,annual_inc,6.022343821648362,6.0,-0.022343821648362017,6.0
58,58,annual_inc:50K-60K,0.14413004604717955,0.00042684734172958186,annual_inc,11.239322473960007,11.0,-0.23932247396000683,11.0
59,59,annual_inc:60K-70K,0.21968751215968904,1.5179951437966434e-07,annual_inc,17.131325912825332,17.0,-0.13132591282533213,17.0
60,60,annual_inc:70K-80K,0.2931073249636018,6.524359879339087e-12,annual_inc,22.85663423480308,23.0,0.14336576519691846,23.0
61,61,annual_inc:80K-90K,0.3688710802019622,1.0481105848125913e-16,annual_inc,28.76472418770137,29.0,0.2352758122986316,29.0
62,62,annual_inc:90K-100K,0.38925670302286813,2.7424473338475633e-17,annual_inc,30.354403751403723,30.0,-0.3544037514037228,30.0
63,63,annual_inc:100K-120K,0.4668063008624461,1.4675340752399529e-24,annual_inc,36.40175447215225,36.0,-0.40175447215224835,36.0
64,64,annual_inc:120K-140K,0.5570617893571972,6.911264524157248e-27,annual_inc,43.43991596628815,43.0,-0.43991596628814733,43.0
65,65,annual_inc:>140K,0.494626440916688,2.41794714783133e-25,annual_inc,38.571180861137115,39.0,0.4288191388628846,39.0
66,66,dti:<=1.4,0.24292098379700022,0.003569963219697034,dti,18.94308194207038,19.0,0.05691805792962157,19.0
67,67,dti:1.4-3.5,0.36230716259243634,2.252588905020891e-07,dti,28.25286709246519,28.0,-0.25286709246519123,28.0
68,68,dti:3.5-7.7,0.37752728823989334,3.7492753095487313e-10,dti,29.43973898307683,29.0,-0.439738983076829,29.0
69,69,dti:7.7-10.5,0.313164003639712,1.709665971043246e-07,dti,24.420662593772796,24.0,-0.42066259377279636,24.0
70,70,dti:10.5-16.1,0.23375626910031916,5.3842601232911775e-05,dti,18.2284135805261,18.0,-0.2284135805261016,18.0
71,71,dti:16.1-20.3,0.13241150152204587,0.02237208724697691,dti,10.325505372976616,10.0,-0.3255053729766164,10.0
72,72,dti:20.3-21.7,0.12019805560591956,0.047606467195195054,dti,9.373095650407882,9.0,-0.3730956504078815,9.0
73,73,dti:21.7-22.4,0.08450312006765463,0.19187920922992452,dti,6.589589350337387,7.0,0.4104106496626132,7.0
74,74,dti:22.4-35,0.04301461893143548,0.45286595739100044,dti,3.354298333510933,3.0,-0.3542983335109331,3.0
75,75,mths_since_last_delinq:Missing,0.1332708028749659,0.009056650894485686,mths_since_last_delinq,10.392514059039321,10.0,-0.39251405903932124,10.0
76,76,mths_since_last_delinq:4-30,0.15955615294942838,0.0020218427842913235,mths_since_last_delinq,12.44225687068809,12.0,-0.44225687068808917,12.0
77,77,mths_since_last_delinq:31-56,0.20590492346687858,8.412265345141549e-05,mths_since_last_delinq,16.056553767163596,16.0,-0.056553767163595836,16.0
78,78,mths_since_last_delinq:>=57,0.1585899790631591,0.003120503143649317,mths_since_last_delinq,12.366914218884975,12.0,-0.36691421888497544,12.0
79,79,mths_since_last_record:Missing,0.21464418372502403,0.0033484058827938277,mths_since_last_record,16.738045010099906,17.0,0.2619549899000937,17.0
80,80,mths_since_last_record:3-20,0.3303791350588238,0.004894634017219315,mths_since_last_record,25.76310588549049,26.0,0.2368941145095107,26.0
81,81,mths_since_last_record:21-31,0.23173218682235452,0.029449372409316412,mths_since_last_record,18.07057478105451,18.0,-0.07057478105451054,18.0
82,82,mths_since_last_record:32-80,0.3974497358062938,2.9606777415323154e-07,mths_since_last_record,30.99329994285088,31.0,0.006700057149121363,31.0
83,83,mths_since_last_record:81-86,0.04430796987597232,0.6076573432255364,mths_since_last_record,3.455154391885409,3.0,-0.45515439188540885,3.0
84,84,mths_since_last_record:>=86,0.11990710273987217,0.10946405550208776,mths_since_last_record,9.350407021798416,9.0,-0.3504070217984161,9.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
